VariableCode,RegionCode,YearCode,AggValue
rgdpe,AGO,1970,19026.00000000000000000
pop,AGO,1970,5.92633300000000000
rgdpe,AGO,1980,19247.05078125000000000
pop,AGO,1980,7.63842000000000000
rgdpe,AGO,1990,27311.73437500000000000
pop,AGO,1990,10.33505200000000000
rgdpe,AGO,2000,32284.10742187500000000
pop,AGO,2000,13.92637300000000000
rgdpe,AGO,2010,97857.80468750000000000
pop,AGO,2010,19.08191200000000000
rgdpe,ALB,1970,8043.71972656250000000
pop,ALB,1970,2.13559900000000000
rgdpe,ALB,1980,11895.23632812500000000
pop,ALB,1980,2.67130000000000000
rgdpe,ALB,1990,14904.61425781250000000
pop,ALB,1990,3.28948300000000000
rgdpe,ALB,2000,13720.70703125000000000
pop,ALB,2000,3.07185600000000000
rgdpe,ALB,2010,23574.44726562500000000
pop,ALB,2010,3.20428400000000000
rgdpe,ARG,1950,36905.05468750000000000
pop,ARG,1950,17.16539835316770000
rgdpe,ARG,1960,49341.14062500000000000
pop,ARG,1960,20.63411509474160000
rgdpe,ARG,1970,71057.52343750000000000
pop,ARG,1970,23.98335800000000000
rgdpe,ARG,1980,95231.82812500000000000
pop,ARG,1980,28.13104000000000000
rgdpe,ARG,1990,150802.98437500000000000
pop,ARG,1990,32.64244200000000000
rgdpe,ARG,2000,391555.34375000000000000
pop,ARG,2000,36.93070900000000000
rgdpe,ARG,2010,574300.93750000000000000
pop,ARG,2010,40.41237600000000000
rgdpe,ARM,1990,13808.25585937500000000
pop,ARM,1990,3.54469500000000000
rgdpe,ARM,2000,7938.81689453125000000
pop,ARM,2000,3.07609800000000000
rgdpe,ARM,2010,15600.64648437500000000
pop,ARM,2010,3.09207200000000000
rgdpe,ATG,1970,283.56893920898400000
pop,ATG,1970,0.06558700000000000
rgdpe,ATG,1980,402.75976562500000000
pop,ATG,1980,0.07022800000000000
rgdpe,ATG,1990,747.65484619140600000
pop,ATG,1990,0.06220200000000000
rgdpe,ATG,2000,1039.00903320313000000
pop,ATG,2000,0.07765600000000000
rgdpe,ATG,2010,1182.59594726563000000
pop,ATG,2010,0.08871000000000000
rgdpe,AUS,1950,97407.42968750000000000
pop,AUS,1950,8.31187426635951000
rgdpe,AUS,1960,128872.60937500000000000
pop,AUS,1960,10.41709058375450000
rgdpe,AUS,1970,214561.04687500000000000
pop,AUS,1970,12.72836200000000000
rgdpe,AUS,1980,291641.68750000000000000
pop,AUS,1980,14.70991800000000000
rgdpe,AUS,1990,413624.75000000000000000
